id_version,NC,mWMC,mBC
20ed0f140862d1fffde957ceede2bb3fed73e128,958,18.5104,0.0801
f3c86cb07640836f20d08d2420f61cf8ce8f32f3,951,18.3943,0.0804
d372277b59b0552f8b2fb58810d37e77b3fcdae9,1004,19.0209,0.0816
758d36731205cfb38b82b0e4d632948dc7a9c387,993,19.0786,0.0814
9b3ae428a44735ebf0a66f452fac4c3a79b34414,931,18.1278,0.0804
e1f866d31f02f780525d4b1adf7915627c3c6239,1010,18.7446,0.0815
53962f7b36bf698816a6a8dbab5de492d0537f6d,1005,19.0239,0.0818
548760730522ad3d313cf9cfc123e2327356b1b6,1012,18.2875,0.0830
37ecb8ffe2ecdf31e295b42fe0863831b32fd0a5,936,18.1955,0.0801
89528e5551c09a9fdddd036d1a113517ddc3970c,903,17.5604,0.0835
ede9ee51f6079a6eabad57d3b91f75eae3c882cd,993,19.0775,0.0814
b7923f0d068039722b5fea2dbe3fddd6e79ef3d8,931,18.1386,0.0804
80cd0447c1be648d40e16ea14b4c668b95eee4f4,914,17.8764,0.0818
903384d8b01230057b12ca68728616e0ae65f168,909,17.8240,0.0818
c1c2c46dd610608477808cf549141ff283330826,910,17.6626,0.0832
1b7977c096e3a680393179a4d1be09aac5402a42,935,18.1583,0.0802
f68f7248a4145828dfa36fc2f76924db3c543162,1009,19.4420,0.0831
adfff16b6452cac13d7b823a11fc7ffafd657f57,1010,19.4238,0.0831
327209ad0c182067cb9e123f7912d5800cced51f,988,17.9099,0.0883
29a40408e66542c795fb7f8e3a8f4d84695a99a1,1027,17.9075,0.0880
358926fbee6bc88c65d82e31de2bb67546e0a76e,1017,17.9410,0.0880
2893273b25b5a08b1fed9bd0b9f65b82942676b2,955,18.4555,0.0802
576271449635c531076567f8ad4cd16d99bf9a4f,1003,18.8933,0.0817
177b17590b129f891ff52e02e9b42ab9147f4060,917,18.0785,0.0816
7997d52f1ab449ddd2adf390f6ba94d848c2e3a5,988,18.7864,0.0903
eed0e264ed72d0f163d68c0b48079036167f86cb,1027,19.3447,0.0828
0ca96cca00ddff278ff210945425df060b5eb5c7,920,18.1228,0.0816
79b72cb3a013f27dd2ca26dc492d170d13000caa,1004,19.0229,0.0816
0e0b1aaae8e2ae331ba2407e3ac0a82fdf61cb6a,993,19.0765,0.0814
19eb8124721d2c9336bc722f326753f372d89364,988,18.7854,0.0902
f6cca709a0fc593b499c9e3694e494b8727edf77,936,18.1998,0.0801
325af41daa0fb0317fe7567adcef926073844874,1010,18.7356,0.0815
bb33f8f5fa775562214fd7ae887257be21c190f5,951,18.3943,0.0804
c0cff2ab92ec16980385a58355527b8a6126876d,917,18.1014,0.0816
e6a0537cc53901f2ad08583182c9da8261f7c75a,1015,17.9143,0.0883
d7adbc3026f4e9e2abc0d53d561ab042564ba3c7,920,18.2478,0.0813
bff74e70fc4c9b4bf7bf1623e490c1991e9d589c,958,18.5188,0.0800
64896add1ef9c7f547e9d20e277e1c6584e6ff41,903,17.5958,0.0834
b3f5f21ba0fe32a8f7eccb6760a79df30628be3e,1017,17.9410,0.0880
11f45369e5c8238074bdd56b23620bdda21cabaa,950,18.4063,0.0805
26e2d192f788dec7726c9723134de93f0a93b9fc,923,18.1083,0.0811
a8bea1161b7e2a87ab1b783554b28c0b63c1cc6b,931,18.1278,0.0804
79c5e312ec4a4ef946f6793ea3da46b9d22bf0e2,1015,17.9094,0.0883
47121569d8785c34a650406cd54323b9927897b6,1017,17.9400,0.0880
fc0fef4443717156e2e4372dccefa63df57b0c35,931,18.1310,0.0804
18cce7407500684aded473e74776d001501fe515,1012,18.3202,0.0822
50ecfcab2ca387a6656b1d042c07b1097ddc4611,955,18.5037,0.0802
2674672d5cb4ae952868b4c8ed135ac18f3c6b9c,951,18.3943,0.0804
757d2c3ff32deafbe971c36d4532dd2167d7644c,917,18.1461,0.0816
bef27e4f047e10f25fe0605b82cc7571fecd01db,920,18.0783,0.0813
f09f1d5b3896428aa1044db1c78006d829fd9260,1012,17.4417,0.0898
62fb4891d70f707a7f7f5b434ed55ee9f8b892d4,948,18.2511,0.0802
09ef285c43c8a6f05e016371ede40e21139e8cd1,931,18.1310,0.0804
39a542b9ae2c9a0c80c27f4f0241ea1d9e9ec771,1010,19.3495,0.0838
9ebc650fb86ec15773b5993f2510d301caa9e854,987,18.8612,0.0904
190e1e76598b41458caaab9e453b0c54ec33dc5b,987,17.8359,0.0883
29899cc1c6a95f08b5d0a27d2c509ac7331390a9,1005,19.0239,0.0818
07ac89eb420c10786d57dd3f2db828e8a2f497d7,950,18.4063,0.0805
96c1b27cf0a8b24afa74cc9aac1b537d69bcd32d,993,19.0745,0.0814
9970c44c74d9652032d8cc6bca5ec23323d95b41,948,18.2373,0.0804
748dc86f28d226911fed8084c50da6b296d3f346,992,19.0746,0.0815
34fae0b32e0c11cac42d1468a059885cad4c1a49,1009,19.4539,0.0830
b3481d24eb1eeca50e14bf486d9a3431dc408924,985,18.7482,0.0883
0c109c5aab68f0f9deb62e749bc6d07038a41227,936,18.2457,0.0801
b2ed853e2be6fa5e0879347362def3d9da70ded0,909,17.8185,0.0818
45c3901ee7779f76d28ffc2f4f11e07f2eecefae,995,18.8603,0.0809
8a8e376feae8d5013801b5f3a0bbd0ad1756b2f5,910,17.8033,0.0824
c30f06d87af5abe270e4faa95463081d6a336382,950,18.4063,0.0805
7f480f9dd8eb52611ed5b86c966e03087eff7d58,946,18.2135,0.0802
f9cd6a43ad6b90f5c238d8cc5d8d63952f7a7c30,1005,19.0229,0.0818
9ff98e0c8b7949788af2c74f558e3045f75272f0,993,19.0997,0.0819
ff0b4f4f1a49d5876117f656191ac2a425c30f3d,1003,18.9063,0.0817
9d03e6407bc6ded875ff52ca20da03fa57238ab5,960,18.7260,0.0797
cf5d9221ff17d2b72b7366d498eb332d3f032b1a,960,18.6500,0.0798
20d71e737d3ca4c06ea15a49093f103fcecb0194,917,18.1145,0.0816
86bbbf789601224eb74a3a25dfc3d6f9bc0eee0c,951,18.3901,0.0804
9e6f80e17dfc64aff85d765e402113a578daf836,1010,18.3871,0.0818
731b3f1c598a023ce628cc1d20d3ef78e8de7102,988,18.8006,0.0888
aef90f405931edd39dcba06ddd5af9a6b83b7a44,987,18.9524,0.0875
d4c2725abbc4e2eef5295547b1860d3bb3ee5c5f,936,18.1998,0.0801
3c594d4c724aa68f4b2ee991b21d293dfd9626c7,964,18.7583,0.0795
93926a1a93d133fe1c598024b9a9cb00f9c672c7,1005,19.0239,0.0818
44a78730093207486c03abb8d9cb1f4321e7de0f,999,18.8488,0.0814
3c3d71c44512549b53f5c39f4536882c71d09f88,920,18.1533,0.0815
7748f28f6d021e8aa191e28015520cc0dac9aaa4,993,19.0745,0.0814
848fa85377465db7fa277177019b06f2befe860c,910,17.6582,0.0832
bd29bf2639b80c7c2032d231320cd044011072b4,985,18.7492,0.0885
d6d46b131ba533995ac6f098434bc0a1a64d90ff,994,17.8954,0.0883
4544ff3aceea4d094516607e1b06f54e0eeae86f,993,19.1027,0.0819
47eab7a9c6050fe7bda3692debf134747cf513cb,914,17.8764,0.0818
6113e6b4e4c2a71d4f59760f376880d53dd69fe2,917,18.1145,0.0816
6b87de1e60bf8e3db138b9ab55dec1a0d39b0096,931,18.1310,0.0804
4aa422dbbf8b20e2b78f1c0eede052608d9ad5a4,1004,19.0269,0.0816
ebff35acebc9f024763fe28bc98bf6bd038d377b,987,17.9119,0.0883
ba964dc699b5291cec14871f85cde6d07aea018b,1010,18.3337,0.0819
1baf6bbd56cca583cefe5a34f5b08206a86fc99d,958,18.5177,0.0801
a5dd2e3d95cb87494413d0967d5c158185463827,931,18.1343,0.0804
a54ebe5ccd89a6e2dff4eaaf1b3e4909d2b9fe8c,989,18.8210,0.0812
50fedc1929ebb1059085b03be3351dc52140ed9b,1009,19.4440,0.0831
7d10866f34bb6bd1eef8a1ab50f210adf0fd52cc,922,18.0987,0.0812
fde9ed4e6a87d9ed9a949608b134160b1d538946,950,18.4063,0.0805
b1f0aa1d6c8e725efe15c375ec2427c0316fbdd2,1005,19.0239,0.0818
6354964c1cf8a1b10866afd3027a07b40a9e15e8,1015,17.8749,0.0883
d0f59c3fd463c21deacfc8240deb8312794e4e15,1015,17.9133,0.0883
a71ca0ca55e5a298f99b777698f1055051aefdc5,935,18.1615,0.0802
4f4c217a86316e771b2cdd62328a69542872e673,1010,18.5871,0.0816
639d184bed3665a9bcd89e097604f029be7d4265,993,19.0957,0.0819
e199fd3834d3a7fa2b24368b9a7bbd91464daec9,936,18.1998,0.0801
e27fedfce253fad578686db67e471a7e0cb7e09b,935,18.1594,0.0802
8837d8ae92c8fee76d1636a605231f7f64898bc7,990,17.8818,0.0882
6e31d0d5195fe3b60728423b1d6cf8a6b85fe886,1010,19.0327,0.0814
211f463dbd044958d1dd40a02849bcf6d8e88548,1010,18.3713,0.0818
1df75d5c6067bf322bf960185cb2a363c4c3d702,993,19.1047,0.0818
7fa001060645c40a50ba03756db20cbb4c2a6dd3,1010,18.8228,0.0815
1e1d703f65fa16d3fc20beabadd8394600a6d56a,920,18.0870,0.0818
7cdbfbe047f81907244de9428b27db49b0fa5107,1023,18.0831,0.0931
7569cc6e6ec5df9f895fc1fee8f5688d90d732e5,951,18.3828,0.0805
35c1163b04cbd7888d46f1d1ddeac6026f05a379,1010,18.3713,0.0818
2aa60dd88cb944cd9f6423511f8daac391fb621b,987,18.8379,0.0885
55de5b7a692f82ab3f3f77bde84aea92f833acb0,909,17.6073,0.0830
9161a50906ba8f8ea6c61cdf59adc0ca41290570,909,17.8185,0.0819
b8078029e88acfe85e50caaa4b078184d55c2a15,987,18.8673,0.0904
f1abca190af73ef14ddf91cfcbe753fc30a773e0,1012,17.4565,0.0918
0c9f4503fd65485cf405583a21681da78742f5de,985,18.7482,0.0885
37091ada7f58145bf4f1333717d013aaa09585e5,913,18.1358,0.0821
b600e7f01061e4b3eba5fac0f8a8ddbf4faab688,1012,18.2263,0.0836
5e998ebaf231f0191d53461889e3113fa67afd32,987,18.7690,0.0886
c59669ded0d88b4248fd589f5c20e0ed82f46603,1010,18.9941,0.0814
30a64d1042f38ef2aecf8233252210a88ec61874,999,18.8348,0.0814
b70465f8f3f34c1c035c7f1da1402c329776146e,984,18.7825,0.0810
122c01f995e4bd62179234aae785e25dcb10cb2b,988,18.7834,0.0902
e735840f7ba33105bce5d2a96ef0ad6dc40a5fc7,987,17.8703,0.0883
